Date,Record ID,Approaches to teaching,Assessment,Curriculum,Differentiation,Fun,Not engaged,Problem solving,Resources,Students lack of understanding,Teachers subject knowledge,Technology issues,Terminology
05/05/2018,396,,1,,,,,,,,,,
07/05/2018,397,1,,,,,,,,,,,
08/05/2018,398,1,,,,,,,,,,,
14/05/2018,400,1,,,,,,,,,,,
14/05/2018,401,,,,,,,,,,,,1
14/05/2018,402,,,,,,,,1,,,,
17/05/2018,403,,,,,,,,1,,,,
17/05/2018,404,1,,1,1,,,,,,,,
18/05/2018,405,,,,,,,,,,,,
18/05/2018,407,,,1,,,,,,,,,
19/05/2018,408,,,1,,,,,,,,,
19/05/2018,409,1,,,,,,,1,,,,
23/05/2018,410,,,1,,,,,,,,,
24/05/2018,411,1,,,,,,,,,,,
25/05/2018,412,,,,,,,,,,,,
26/05/2018,413,1,,,,,,,,1,,,
27/05/2018,414,1,,,,,1,,,,,,
28/05/2018,415,,,,,,,,,,,,1
28/05/2018,416,1,,,,,,,,,,,
31/05/2018,417,1,,1,,,,,,,,,
03/06/2018,418,,,,,,,,1,,,,
03/06/2018,419,,,,,,,,1,,,,
04/06/2018,420,,,,,,,,,,,,1
05/06/2018,421,,,,,,,,1,,,1,
07/06/2018,423,,,,,,,,1,1,,,
07/06/2018,424,,,1,,,,,,,1,,
08/06/2018,426,,,,,1,,,,,,,
10/06/2018,427,1,,,,,,,,,,,
10/06/2018,428,,1,,,1,,,,,,,
13/06/2018,431,1,,,,,,,,,,,1
14/06/2018,432,,,,,,,,,,,,
14/06/2018,433,,,1,,,,,,,,,
17/06/2018,434,1,,,,,,,,,,,
18/06/2018,435,1,,,,,,,1,,,,
18/06/2018,436,1,,,1,,1,,,,,,
19/06/2018,437,,,,,1,,,1,,,,
21/06/2018,439,1,,,1,,,,,1,,,
24/06/2018,440,,,,,,,,1,,,,
25/06/2018,441,,,,,,,,1,,,,
27/06/2018,442,,1,,,,,,,,,,
27/06/2018,443,,,1,,,,,,,,,
28/06/2018,444,,,,,,,,,,,,
28/06/2018,445,,,,,,,,1,,,,
28/06/2018,446,,,,,,,,1,,,,
30/06/2018,448,1,,,,,,,,,,,
02/07/2018,449,,,,,,,,1,,,,
04/07/2018,450,,,,,,,,1,,,,
05/07/2018,451,1,,,,,,,,1,,,
06/07/2018,452,,1,,,,,,,,,,
09/07/2018,454,1,,,,,,,,,,,
13/07/2018,455,1,,,,,,,,,,,
16/07/2018,457,1,,,,,,,,,,,
17/07/2018,458,1,,1,,,,,,,,,
18/07/2018,459,1,,,,,,,,,,,
19/07/2018,460,,,,,,,,,,,,1
19/07/2018,461,,1,,,,,,,,,,
20/07/2018,462,1,,,,,,,,1,,,
25/07/2018,464,,,,,,,,,,,,1
25/07/2018,465,,1,,,,,,1,,,,
26/07/2018,467,,,,1,,,,,,,,
31/07/2018,469,,1,,,,,,,,,,
01/08/2018,470,,,,,,,,1,,,,
02/08/2018,471,,,,,,,,,,,,1
06/08/2018,473,,1,,,,,,,,,,
07/08/2018,474,,,,,,,,1,,,,
08/08/2018,475,,1,,,,,,1,,,,
14/08/2018,478,,,,,,,,,,,,
16/08/2018,479,,1,,,,,,,,,,
16/08/2018,480,1,,,,,1,1,,,,,
22/08/2018,481,1,,,,,,,,,,,
23/08/2018,482,,,,,,,,1,,,,
23/08/2018,483,,,,,,,,1,,,,
23/08/2018,484,,,,,,,,1,,,,
25/08/2018,486,1,,,,,,,,,,,
26/08/2018,487,1,,,,,,,,,,,
27/08/2018,488,,,,,,,,1,,,,
28/08/2018,489,1,,,,,,,,,,,
29/08/2018,491,,,1,,,,,,,,,
30/08/2018,492,1,,,,,,,1,,,,
31/08/2018,493,,1,,,,,,,,,,
01/09/2018,494,,,1,,,,,,,,,
02/09/2018,495,,,1,,,,,,,,,
04/09/2018,496,1,,,,,,,,,,,
06/09/2018,497,,,,,,,,,,,,1
11/09/2018,499,,1,,,,,,1,,,,
13/09/2018,502,,,,,,,,1,,,,
13/09/2018,503,,,1,,,,,,,,,
14/09/2018,505,,,,,,,,,,,,1
14/09/2018,506,,,,,,,,1,,,,
15/09/2018,507,1,,,,,,,,,,,
16/09/2018,508,1,,,,,,,,,,,1
19/09/2018,509,,,,,,,,,,,,1
19/09/2018,510,1,,,,,,,,,,,
19/09/2018,511,,,,,,,,1,,,,
22/09/2018,513,1,,,,,,,,,,,
25/09/2018,515,,,,,,,,,,,,1
26/09/2018,516,,1,,,,,,,,,,
29/09/2018,518,,,1,,,,,,,,,
29/09/2018,519,1,,,,,,,,,,,
01/10/2018,520,,,,,,,,1,,,,
01/10/2018,521,,,1,,,,,,,,,
03/10/2018,522,,,,,,,,,,,,1
04/10/2018,523,,,1,,,,,,,,,
04/10/2018,524,,1,,,,,,,1,,,
07/10/2018,525,,,,,1,,,,,,,
09/10/2018,526,1,,,,,,,,,,,
11/10/2018,527,1,,,,,,,,,,,
12/10/2018,528,1,,,,,,,,,,,1
14/10/2018,529,1,,,,,,,,,,,
14/10/2018,530,1,,,,,,,,1,,,
15/10/2018,531,1,,,,,,,,,,,
16/10/2018,532,1,,,,,,1,,,,,
17/10/2018,533,,,,,,,,,,1,,
22/10/2018,534,,,,,,,,,,,,1
28/10/2018,537,,1,,,,,,,,1,,
29/10/2018,538,1,,,,,,,1,,,,
30/10/2018,539,1,,,,,,,,,,,
30/10/2018,541,1,,,,,,,,,,,
01/11/2018,544,1,,,,,,,,1,,,
02/11/2018,546,,,,,,,,1,,,,
02/11/2018,547,,,,,,,,,,,,1
03/11/2018,548,,,1,,,,,,,,,
03/11/2018,549,,,1,,,,,,,,,
06/11/2018,550,1,,,,,,,,,,,1
07/11/2018,551,1,,,,,,,,,,,
08/11/2018,552,1,,,,,,,,,,,
09/11/2018,553,1,,,,,,,,,,,
09/11/2018,554,1,,,,,,,1,,,,
10/11/2018,555,,,1,,,,,,,,,
